Sex,HasSex,SexM,SexF,Length,Diam,Height,Whole,Shucked,Viscera,Shell,Rings,Predicted Rings,Residual Rings,Studentized Resid Rings
M,1,1,0,0.625,0.505,0.215,1.4455,0.496,0.287,0.435,22,16.594463956,5.4055360438,2.6389048175
I,0,0,0,0.275,0.215,0.075,0.1155,0.0485,0.029,0.035,7,5.9656766485,1.0343233515,0.499925006
I,0,0,0,0.44,0.35,0.135,0.435,0.1815,0.083,0.125,12,9.1821889535,2.8178110465,1.3633441893
I,0,0,0,0.295,0.225,0.08,0.124,0.0485,0.032,0.04,9,6.3013539357,2.6986460643,1.3037084921
I,0,0,0,0.075,0.055,0.01,0.002,0.001,0.0005,0.0015,1,1.5878189408,-0.587818941,-0.295358716
I,0,0,0,0.13,0.1,0.03,0.013,0.0045,0.003,0.004,3,3.028972508,-0.028972508,-0.014178378
I,0,0,0,0.11,0.09,0.03,0.008,0.0025,0.002,0.003,3,2.7279921462,0.2720078538,0.1340341489
I,0,0,0,0.16,0.12,0.035,0.021,0.0075,0.0045,0.005,5,3.5523141076,1.4476858924,0.7040383285
M,1,1,0,0.565,0.425,0.16,0.9425,0.3495,0.2185,0.275,17,12.336096861,4.6639031385,2.2544319043
I,0,0,0,0.27,0.2,0.07,0.1,0.034,0.0245,0.035,5,5.9964938804,-0.99649388,-0.481402447
I,0,0,0,0.23,0.175,0.065,0.0645,0.026,0.0105,0.02,5,5.1487156143,-0.148715614,-0.071948336
I,0,0,0,0.3,0.23,0.08,0.1275,0.0435,0.0265,0.04,8,6.5380914835,1.4619085165,0.7062013472
I,0,0,0,0.33,0.255,0.085,0.1655,0.063,0.039,0.06,8,6.950007731,1.049992269,0.5071108911
I,0,0,0,0.35,0.26,0.085,0.174,0.0705,0.0345,0.06,10,6.8012222961,3.1987777039,1.5444383563
I,0,0,0,0.32,0.245,0.08,0.1585,0.0635,0.0325,0.05,13,6.564982305,6.435017695,3.107306434
I,0,0,0,0.36,0.275,0.085,0.1975,0.0745,0.0415,0.07,9,7.1699575767,1.8300424233,0.8836774235
I,0,0,0,0.305,0.245,0.075,0.156,0.0675,0.038,0.045,7,6.2508893025,0.7491106975,0.3621462506
I,0,0,0,0.345,0.27,0.11,0.2135,0.082,0.0545,0.07,7,7.7192931106,-0.719293111,-0.348018037
I,0,0,0,0.33,0.25,0.105,0.1715,0.0655,0.035,0.06,7,7.3742475466,-0.374247547,-0.181053003
M,1,1,0,0.59,0.47,0.18,1.1235,0.4205,0.2805,0.36,13,13.067170588,-0.067170588,-0.03248182
F,1,0,1,0.595,0.455,0.155,1.0605,0.5135,0.2165,0.3,12,9.8207650192,2.1792349808,1.0528458881
F,1,0,1,0.575,0.46,0.185,1.094,0.4485,0.217,0.345,15,12.52703557,2.4729644296,1.1954358152
M,1,1,0,0.6,0.495,0.165,1.2415,0.485,0.2775,0.34,15,12.602638589,2.397361411,1.1600109701
M,1,1,0,0.56,0.45,0.175,1.011,0.3835,0.2065,0.37,15,13.818246757,1.1817532429,0.5715116267
M,1,1,0,0.56,0.45,0.185,1.07,0.3805,0.175,0.41,19,16.044592565,2.9554074353,1.4350999042
M,1,1,0,0.545,0.46,0.16,0.8975,0.341,0.1655,0.345,10,13.455150216,-3.455150216,-1.676238524
F,1,0,1,0.635,0.505,0.17,1.415,0.605,0.297,0.365,15,11.547398517,3.4526014828,1.6680949743
F,1,0,1,0.59,0.475,0.16,1.1015,0.4775,0.2555,0.295,13,10.888201315,2.1117986848,1.019636547
F,1,0,1,0.54,0.475,0.155,0.928,0.394,0.194,0.26,11,11.224886187,-0.224886187,-0.109213692
F,1,0,1,0.57,0.44,0.125,0.865,0.3675,0.1725,0.27,12,10.817902761,1.1820972386,0.5715115665
M,1,1,0,0.53,0.42,0.165,0.8945,0.319,0.239,0.245,11,12.290596553,-1.290596553,-0.625425915
I,0,0,0,0.245,0.195,0.06,0.095,0.0445,0.0245,0.026,4,5.2202221761,-1.220222176,-0.590438913
M,1,1,0,0.27,0.2,0.08,0.1205,0.0465,0.028,0.04,6,6.7972617784,-0.797261778,-0.386956051
F,1,0,1,0.46,0.38,0.13,0.639,0.3,0.1525,0.16,11,9.0439918363,1.9560081637,0.9469040046
M,1,1,0,0.52,0.45,0.15,0.895,0.3615,0.186,0.235,14,11.279199835,2.7208001653,1.3220359767
M,1,1,0,0.35,0.275,0.11,0.2925,0.1225,0.0635,0.0905,8,8.4434354814,-0.443435481,-0.214722832
M,1,1,0,0.47,0.39,0.15,0.6355,0.2185,0.0885,0.255,9,13.8346032,-4.8346032,-2.349620561
F,1,0,1,0.45,0.36,0.125,0.4995,0.2035,0.1,0.17,13,10.499381079,2.500618921,1.2085089549
F,1,0,1,0.64,0.525,0.215,1.779,0.4535,0.2855,0.55,22,24.614736973,-2.614736973,-1.385844607
M,1,1,0,0.59,0.5,0.2,1.187,0.412,0.2705,0.37,16,14.983657298,1.0163427017,0.4956082502
M,1,1,0,0.62,0.485,0.205,1.219,0.3875,0.2505,0.385,14,16.697006239,-2.697006239,-1.314765211
M,1,1,0,0.63,0.505,0.225,1.525,0.56,0.3335,0.45,15,15.109794162,-0.109794162,-0.05349761
M,1,1,0,0.63,0.515,0.155,1.259,0.4105,0.197,0.41,13,16.649804758,-3.649804758,-1.799434018
M,1,1,0,0.655,0.54,0.215,1.844,0.7425,0.327,0.585,22,14.935627117,7.0643728834,3.44506969
F,1,0,1,0.66,0.53,0.185,1.3485,0.493,0.245,0.49,12,14.816474802,-2.816474802,-1.366437948
M,1,1,0,0.61,0.5,0.24,1.642,0.532,0.3345,0.69,18,19.919144892,-1.919144892,-0.987567401
M,1,1,0,0.635,0.525,0.205,1.484,0.55,0.3115,0.43,20,14.834856509,5.1651434915,2.5087175867
F,1,0,1,0.515,0.425,0.135,0.712,0.2665,0.1605,0.25,11,11.950913698,-0.950913698,-0.459856234
F,1,0,1,0.535,0.415,0.185,0.8415,0.314,0.1585,0.3,15,13.396346295,1.6036537049,0.7770289665
I,0,0,0,0.36,0.285,0.105,0.2415,0.0915,0.057,0.075,7,7.818632748,-0.818632748,-0.395604024
F,1,0,1,0.455,0.355,0.12,0.4495,0.177,0.104,0.15,9,10.257633484,-1.257633484,-0.60752143
M,1,1,0,0.485,0.395,0.14,0.6295,0.2285,0.127,0.225,14,12.139623287,1.8603767128,0.8990770085
M,1,1,0,0.515,0.38,0.175,0.9565,0.325,0.158,0.31,14,14.953524986,-0.953524986,-0.467854954
F,1,0,1,0.535,0.415,0.17,0.879,0.295,0.1965,0.285,10,13.825477897,-3.825477897,-1.84992244
M,1,1,0,0.53,0.435,0.155,0.699,0.288,0.1595,0.205,10,10.621380085,-0.621380085,-0.300640685
F,1,0,1,0.495,0.4,0.155,0.6445,0.242,0.1325,0.205,17,11.889605904,5.1103940959,2.4708386496
M,1,1,0,0.44,0.355,0.125,0.4775,0.132,0.0815,0.19,9,13.197703741,-4.197703741,-2.033299614
F,1,0,1,0.535,0.435,0.16,0.8105,0.3155,0.1795,0.24,10,11.850734238,-1.850734238,-0.894257412
M,1,1,0,0.54,0.435,0.18,0.996,0.3835,0.226,0.325,17,12.988711302,4.011288698,1.9405724883
F,1,0,1,0.565,0.505,0.21,1.2765,0.501,0.279,0.355,12,13.696907903,-1.696907903,-0.84090758
M,1,1,0,0.61,0.475,0.165,1.116,0.428,0.2205,0.315,15,12.888789431,2.1112105689,1.0208927049
F,1,0,1,0.565,0.455,0.175,1.013,0.342,0.207,0.35,19,14.84004763,4.1599523695,2.0111906223
M,1,1,0,0.6,0.495,0.195,1.0575,0.384,0.19,0.375,26,15.02756149,10.97243851,5.3365406572
I,0,0,0,0.295,0.215,0.085,0.128,0.049,0.034,0.04,6,6.3367505609,-0.336750561,-0.16278143
I,0,0,0,0.275,0.205,0.075,0.1105,0.045,0.0285,0.035,6,5.9210291618,0.0789708382,0.038155624
I,0,0,0,0.28,0.21,0.085,0.1065,0.039,0.0295,0.03,4,6.1710283961,-2.171028396,-1.050186161
M,1,1,0,0.49,0.395,0.14,0.549,0.2215,0.1275,0.15,11,10.056206222,0.9437937785,0.4565057878
M,1,1,0,0.37,0.28,0.105,0.234,0.0905,0.0585,0.075,9,8.6035872348,0.3964127652,0.1916695628
F,1,0,1,0.405,0.305,0.095,0.3485,0.1455,0.0895,0.1,9,8.8861695059,0.1138304941,0.0551233997
F,1,0,1,0.54,0.435,0.175,0.892,0.322,0.174,0.335,13,13.979657272,-0.979657272,-0.474122844
M,1,1,0,0.37,0.28,0.1,0.252,0.1065,0.0595,0.074,8,8.1985607803,-0.19856078,-0.09596805
M,1,1,0,0.36,0.27,0.1,0.217,0.0885,0.0495,0.0715,6,8.316970427,-2.316970427,-1.120252453
F,1,0,1,0.47,0.36,0.13,0.472,0.182,0.114,0.15,10,10.390772818,-0.390772818,-0.188784151
I,0,0,0,0.2,0.145,0.06,0.037,0.0125,0.0095,0.011,4,4.5709265336,-0.570926534,-0.276691539
I,0,0,0,0.165,0.12,0.03,0.0215,0.007,0.005,0.005,3,3.5277248526,-0.527724853,-0.256771208
M,1,1,0,0.645,0.515,0.24,1.5415,0.471,0.369,0.535,13,18.579023192,-5.579023192,-2.787469971
M,1,1,0,0.55,0.41,0.125,0.7605,0.2505,0.1635,0.195,14,12.145026703,1.8549732975,0.9019529678
M,1,1,0,0.57,0.435,0.145,0.9055,0.3925,0.2355,0.275,10,10.231934331,-0.231934331,-0.112098019
F,1,0,1,0.63,0.485,0.19,1.2435,0.4635,0.3055,0.39,21,13.036816898,7.9631831016,3.8525775566
M,1,1,0,0.56,0.44,0.14,0.971,0.443,0.2045,0.265,14,10.104992168,3.895007832,1.8803142676
M,1,1,0,0.595,0.455,0.195,1.3305,0.4595,0.3235,0.345,19,14.190940635,4.8090593647,2.3572591331
F,1,0,1,0.62,0.47,0.2,1.2255,0.381,0.27,0.435,23,16.317121757,6.6828782428,3.2543381249
M,1,1,0,0.63,0.485,0.175,1.3,0.4335,0.2945,0.46,23,15.544196514,7.4558034862,3.6170853499
I,0,0,0,0.45,0.355,0.11,0.4585,0.194,0.067,0.14,8,8.8809753527,-0.880975353,-0.426299448
F,1,0,1,0.635,0.535,0.19,1.242,0.576,0.2475,0.39,14,11.090670569,2.909329431,1.4143387586
M,1,1,0,0.45,0.35,0.1,0.3675,0.1465,0.1015,0.12,10,9.0627146293,0.9372853707,0.4534538811
F,1,0,1,0.58,0.455,0.155,0.8365,0.315,0.1385,0.32,18,13.138343335,4.8616566653,2.354914201
I,0,0,0,0.33,0.255,0.095,0.172,0.066,0.0255,0.06,6,7.2437816064,-1.243781606,-0.60129871
I,0,0,0,0.265,0.21,0.06,0.0965,0.0425,0.022,0.03,5,5.4857902005,-0.485790201,-0.234951964
I,0,0,0,0.19,0.145,0.04,0.038,0.0165,0.0065,0.015,4,4.1943018578,-0.194301858,-0.094235994
M,1,1,0,0.385,0.31,0.1,0.2845,0.1065,0.075,0.1,11,9.0640765558,1.9359234442,0.9367075419
I,0,0,0,0.265,0.205,0.07,0.1055,0.039,0.041,0.035,5,5.9876883388,-0.987688339,-0.478362752
M,1,1,0,0.335,0.265,0.105,0.222,0.0935,0.056,0.075,7,8.0792455008,-1.079245501,-0.523064899
I,0,0,0,0.355,0.275,0.09,0.251,0.097,0.053,0.08,7,7.5522962278,-0.552296228,-0.26667517
I,0,0,0,0.32,0.255,0.1,0.1755,0.073,0.0415,0.065,7,7.2255026256,-0.225502626,-0.109116214
M,1,1,0,0.51,0.4,0.13,0.6435,0.27,0.1665,0.205,12,10.00831097,1.9916890301,0.962219681
M,1,1,0,0.36,0.295,0.105,0.241,0.0865,0.053,0.095,8,9.2092402739,-1.209240274,-0.585724871
I,0,0,0,0.36,0.28,0.09,0.2255,0.0885,0.04,0.09,8,7.6451376807,0.3548623193,0.1714558521
M,1,1,0,0.5,0.38,0.155,0.5955,0.2135,0.161,0.2,12,11.415599998,0.5844000017,0.2829024894
F,1,0,1,0.4,0.325,0.12,0.3185,0.134,0.0565,0.095,8,9.3427789267,-1.342778927,-0.650870733
I,0,0,0,0.3,0.22,0.08,0.121,0.0475,0.042,0.035,5,6.113235015,-1.113235015,-0.538340681
I,0,0,0,0.235,0.175,0.04,0.0705,0.0335,0.015,0.02,5,4.5784370656,0.4215629344,0.2042836376
F,1,0,1,0.74,0.6,0.195,1.974,0.598,0.4085,0.71,16,18.575777721,-2.575777721,-1.295423273
M,1,1,0,0.62,0.465,0.19,1.3415,0.5705,0.3175,0.355,11,11.228286133,-0.228286133,-0.11051574
M,1,1,0,0.6,0.475,0.19,1.0875,0.403,0.2655,0.325,14,12.985602213,1.0143977871,0.4909918251
M,1,1,0,0.59,0.45,0.185,1.283,0.473,0.276,0.425,16,14.461488134,1.5385118661,0.7454127891
M,1,1,0,0.62,0.475,0.185,1.325,0.6045,0.325,0.33,13,10.167545258,2.8324547416,1.3695440056
F,1,0,1,0.565,0.45,0.195,1.0035,0.406,0.2505,0.285,15,11.719020633,3.2809793667,1.5890447879
M,1,1,0,0.575,0.455,0.145,1.165,0.581,0.2275,0.3,14,9.5544027038,4.4455972962,2.1493853226
F,1,0,1,0.62,0.51,0.205,1.3475,0.4775,0.2565,0.48,14,15.857930509,-1.857930509,-0.901588593
M,1,1,0,0.62,0.465,0.185,1.274,0.579,0.3065,0.32,12,10.112600984,1.8873990162,0.9132501537
F,1,0,1,0.505,0.375,0.18,0.568,0.2325,0.1495,0.17,12,10.279596718,1.7204032817,0.8375187401
F,1,0,1,0.46,0.425,0.155,0.746,0.3005,0.152,0.24,8,11.711453519,-3.711453519,-1.816297686
M,1,1,0,0.49,0.39,0.14,0.707,0.2795,0.2185,0.18,13,9.9897478839,3.0102521161,1.4607723125
F,1,0,1,0.525,0.42,0.16,0.756,0.2745,0.173,0.275,9,12.718874438,-3.718874438,-1.797642349
I,0,0,0,0.34,0.26,0.08,0.2,0.08,0.0555,0.055,6,6.6772747688,-0.677274769,-0.327246445
I,0,0,0,0.375,0.305,0.115,0.2715,0.092,0.074,0.09,8,8.5921513094,-0.592151309,-0.286654174
M,1,1,0,0.61,0.48,0.15,1.2,0.56,0.2455,0.28,14,9.8755723385,4.1244276615,1.9931912778
F,1,0,1,0.61,0.495,0.185,1.153,0.536,0.2905,0.245,8,9.6642968708,-1.664296871,-0.808639154
F,1,0,1,0.585,0.45,0.17,0.8685,0.3325,0.1635,0.27,22,12.470395346,9.5296046536,4.6129911528
M,1,1,0,0.57,0.46,0.14,0.9535,0.4465,0.2065,0.245,12,9.5173075768,2.4826924232,1.1991453505
M,1,1,0,0.58,0.455,0.17,0.93,0.408,0.259,0.22,9,9.4477039349,-0.447703935,-0.216959479
M,1,1,0,0.635,0.515,0.17,1.275,0.509,0.286,0.34,16,12.140332073,3.8596679273,1.8670099478
M,1,1,0,0.7,0.58,0.205,2.13,0.7415,0.49,0.58,20,16.507619954,3.4923800461,1.755459946
M,1,1,0,0.675,0.525,0.185,1.587,0.6935,0.336,0.395,13,11.401791628,1.5982083717,0.7727506665
F,1,0,1,0.645,0.525,0.19,1.8085,0.7035,0.3885,0.395,18,13.07713963,4.9228603703,2.434914676
M,1,1,0,0.745,0.585,0.215,2.499,0.9265,0.472,0.7,17,14.873110273,2.1268897271,1.0759444174
F,1,0,1,0.685,0.545,0.18,1.768,0.7495,0.392,0.485,16,12.142063059,3.8579369406,1.8667340787
M,1,1,0,0.605,0.49,0.18,1.227,0.48,0.287,0.35,18,12.642906126,5.3570938743,2.5888671778
F,1,0,1,0.59,0.465,0.15,0.997,0.392,0.246,0.34,12,11.922753566,0.0772464344,0.037346726
F,1,0,1,0.65,0.525,0.175,1.4225,0.61,0.2995,0.445,20,12.026247223,7.9737527773,3.854170141
F,1,0,1,0.6,0.48,0.15,1.029,0.4085,0.2705,0.295,16,11.377079021,4.6229209787,2.2350499769
F,1,0,1,0.62,0.5,0.175,1.186,0.4985,0.3015,0.35,12,11.354262751,0.6457372494,0.3120749434
M,1,1,0,0.63,0.515,0.16,1.016,0.4215,0.244,0.355,19,10.931514245,8.0684857551,3.9229774246
M,1,1,0,0.58,0.465,0.145,0.887,0.4405,0.1655,0.265,11,9.6257711231,1.3742288769,0.6646753418
F,1,0,1,0.58,0.455,0.12,1.0735,0.479,0.2735,0.265,10,10.038301463,-0.038301463,-0.018570991
M,1,1,0,0.63,0.49,0.18,1.13,0.458,0.2765,0.315,12,11.412291974,0.5877080259,0.2841435497
F,1,0,1,0.69,0.56,0.215,1.719,0.68,0.299,0.47,17,14.08831652,2.9116834797,1.4248303543
F,1,0,1,0.65,0.545,0.165,1.566,0.6645,0.3455,0.415,16,12.108121304,3.8918786956,1.8896898371
F,1,0,1,0.66,0.565,0.195,1.7605,0.692,0.3265,0.5,16,14.239897343,1.760102657,0.8619955801
F,1,0,1,0.68,0.58,0.2,1.787,0.585,0.453,0.6,19,17.093826761,1.9061732385,0.9587558164
F,1,0,1,0.7,0.575,0.17,1.31,0.5095,0.314,0.42,14,11.711969453,2.2880305473,1.1170215876
M,1,1,0,0.685,0.52,0.15,1.343,0.4635,0.292,0.4,13,13.793144794,-0.793144794,-0.387844222
F,1,0,1,0.675,0.545,0.195,1.7345,0.6845,0.3695,0.605,20,13.899989095,6.100010905,2.9647491452
M,1,1,0,0.63,0.49,0.19,1.1775,0.4935,0.3365,0.285,11,10.215036222,0.7849637778,0.3822093225
F,1,0,1,0.585,0.45,0.16,1.077,0.4995,0.2875,0.25,10,9.4071144771,0.5928855229,0.2868227508
M,1,1,0,0.565,0.465,0.175,0.995,0.3895,0.183,0.37,15,13.699242442,1.300757558,0.6299466869
F,1,0,1,0.61,0.495,0.185,1.1085,0.3705,0.3135,0.33,12,13.83153702,-1.83153702,-0.891238531
M,1,1,0,0.605,0.47,0.18,1.1405,0.3755,0.2805,0.385,15,14.81970704,0.1802929597,0.0873297133
M,1,1,0,0.535,0.42,0.145,0.791,0.33,0.189,0.25,10,10.786077877,-0.786077877,-0.379520482
M,1,1,0,0.485,0.4,0.135,0.663,0.313,0.137,0.2,10,9.4010063728,0.5989936272,0.2895767323
M,1,1,0,0.47,0.375,0.12,0.5565,0.226,0.122,0.195,12,10.464595459,1.5354045406,0.7418032775
M,1,1,0,0.545,0.425,0.135,0.8445,0.373,0.21,0.235,10,9.80192897,0.19807103,0.0956476843
F,1,0,1,0.455,0.37,0.105,0.4925,0.216,0.1245,0.135,9,9.1903380508,-0.190338051,-0.092156346
M,1,1,0,0.54,0.42,0.155,0.7385,0.3515,0.152,0.215,12,9.7040313908,2.2959686092,1.1093085962
M,1,1,0,0.46,0.38,0.135,0.482,0.207,0.1225,0.145,10,9.358578964,0.641421036,0.3105132315
M,1,1,0,0.49,0.42,0.125,0.609,0.239,0.1435,0.22,14,10.633754441,3.3662455594,1.6348693746
I,0,0,0,0.465,0.375,0.12,0.471,0.222,0.119,0.14,9,7.9719218036,1.0280781964,0.4971822385
I,0,0,0,0.415,0.325,0.1,0.3215,0.1535,0.0595,0.105,10,7.4011910809,2.5988089191,1.2550101277
M,1,1,0,0.475,0.375,0.125,0.593,0.277,0.115,0.18,10,9.4027715505,0.5972284495,0.2884305872
F,1,0,1,0.47,0.375,0.125,0.5615,0.252,0.137,0.18,10,9.6740292623,0.3259707377,0.1575731833
I,0,0,0,0.365,0.295,0.095,0.25,0.1075,0.0545,0.08,9,7.3545618284,1.6454381716,0.7949571959
I,0,0,0,0.345,0.275,0.095,0.1995,0.0755,0.0535,0.07,6,7.4085885373,-1.408588537,-0.680865004
I,0,0,0,0.39,0.31,0.1,0.302,0.116,0.064,0.115,11,8.3524250015,2.6475749985,1.2792351821
F,1,0,1,0.5,0.395,0.14,0.7155,0.3165,0.176,0.24,10,10.354862945,-0.354862945,-0.171662441
M,1,1,0,0.47,0.38,0.145,0.5865,0.2385,0.144,0.185,8,10.42485669,-2.42485669,-1.172519616
M,1,1,0,0.535,0.44,0.15,0.6765,0.256,0.139,0.26,12,12.03513356,-0.03513356,-0.017012261
M,1,1,0,0.585,0.455,0.15,0.987,0.4355,0.2075,0.31,11,10.972352205,0.027647795,0.013349297
F,1,0,1,0.485,0.365,0.12,0.5885,0.27,0.131,0.175,9,9.3511767292,-0.351176729,-0.169686202
M,1,1,0,0.515,0.455,0.135,0.7225,0.295,0.1625,0.235,9,10.487491849,-1.487491849,-0.724235713
F,1,0,1,0.435,0.325,0.11,0.4335,0.178,0.0985,0.155,7,9.9337858943,-2.933785894,-1.419989216
F,1,0,1,0.515,0.415,0.14,0.6935,0.3115,0.152,0.2,10,9.9481793187,0.0518206813,0.0250274228
I,0,0,0,0.44,0.345,0.12,0.365,0.1655,0.083,0.11,7,7.8988950988,-0.898895099,-0.434193744
F,1,0,1,0.525,0.44,0.15,0.8425,0.3685,0.1985,0.24,12,10.536152235,1.463847765,0.7078049758
M,1,1,0,0.45,0.355,0.115,0.479,0.2125,0.1045,0.15,8,9.2550160147,-1.255016015,-0.606078888
M,1,1,0,0.59,0.485,0.12,0.911,0.39,0.182,0.29,16,10.488703281,5.5112967188,2.6779311766
M,1,1,0,0.555,0.45,0.145,0.915,0.4,0.246,0.285,11,10.206182867,0.7938171329,0.3844545268
M,1,1,0,0.57,0.44,0.095,0.827,0.3395,0.2215,0.235,8,9.6812690828,-1.681269083,-0.819150279
M,1,1,0,0.59,0.5,0.165,1.1045,0.4565,0.2425,0.34,15,11.820424586,3.1795754136,1.538464001
M,1,1,0,0.585,0.475,0.12,0.945,0.41,0.2115,0.28,14,10.147396299,3.8526037013,1.8666716382
F,1,0,1,0.58,0.46,0.12,0.9935,0.4625,0.2385,0.28,11,9.7730608344,1.2269391656,0.5943943809
M,1,1,0,0.545,0.44,0.12,0.8565,0.3475,0.1715,0.24,12,10.919949001,1.0800509985,0.5226697316
F,1,0,1,0.605,0.495,0.17,1.2385,0.528,0.2465,0.39,14,12.117731363,1.8822686367,0.9096443843
F,1,0,1,0.62,0.47,0.14,1.0325,0.3605,0.224,0.36,15,13.207863507,1.7921364929,0.8691034809
F,1,0,1,0.63,0.5,0.17,1.3135,0.5595,0.267,0.4,20,11.94536024,8.0546397604,3.889834077
M,1,1,0,0.63,0.515,0.165,1.352,0.488,0.349,0.45,20,13.795859617,6.2041403826,3.0240088141
F,1,0,1,0.63,0.5,0.155,1.005,0.367,0.199,0.36,16,13.041410901,2.9585890989,1.4342758966
M,1,1,0,0.545,0.41,0.14,0.625,0.223,0.16,0.235,13,11.528018246,1.4719817539,0.7129984552
F,1,0,1,0.67,0.54,0.165,1.5015,0.518,0.358,0.505,14,14.747096471,-0.747096471,-0.363655617
I,0,0,0,0.49,0.38,0.12,0.529,0.2165,0.139,0.155,11,8.677936824,2.322063176,1.1223474481
F,1,0,1,0.49,0.39,0.135,0.5785,0.2465,0.123,0.2,13,10.493464144,2.5065358562,1.2109874707
I,0,0,0,0.29,0.225,0.07,0.101,0.036,0.0235,0.035,8,6.1012100916,1.8987899084,0.9173656243
I,0,0,0,0.26,0.2,0.07,0.092,0.037,0.02,0.03,6,5.7112578081,0.2887421919,0.1395417837
M,1,1,0,0.58,0.45,0.175,1.068,0.425,0.203,0.32,13,12.873710755,0.1262892451,0.0610507022
F,1,0,1,0.61,0.485,0.165,1.0915,0.3935,0.2435,0.33,18,13.278354689,4.7216453109,2.2816638276
M,1,1,0,0.6,0.5,0.16,1.015,0.3995,0.1735,0.33,19,12.98227468,6.0177253198,2.9214163391
F,1,0,1,0.56,0.455,0.125,0.943,0.344,0.129,0.375,21,14.009588484,6.9904115155,3.4266882247
F,1,0,1,0.575,0.45,0.17,1.0475,0.3775,0.1705,0.385,18,14.743025065,3.2569749351,1.5779128459
F,1,0,1,0.57,0.45,0.175,0.9555,0.38,0.1665,0.295,18,12.692873714,5.3071262856,2.5679059633
M,1,1,0,0.6,0.47,0.155,1.036,0.4375,0.196,0.325,20,11.88436886,8.1156311395,3.9193457544
M,1,1,0,0.565,0.455,0.17,0.9065,0.342,0.156,0.32,18,13.788747133,4.2112528669,2.0380043064
M,1,1,0,0.545,0.42,0.14,0.7505,0.2475,0.13,0.255,22,13.73108251,8.2689174902,4.0042019044
I,0,0,0,0.44,0.345,0.1,0.366,0.122,0.0905,0.12,13,8.6473073875,4.3526926125,2.1047753164
M,1,1,0,0.5,0.41,0.15,0.662,0.2815,0.137,0.22,11,10.786387781,0.2136122194,0.103275748
I,0,0,0,0.36,0.275,0.095,0.217,0.084,0.0435,0.09,7,7.7196484264,-0.719648426,-0.347678277
I,0,0,0,0.385,0.305,0.095,0.252,0.0915,0.055,0.09,14,7.8847310438,6.1152689562,2.9541330026
M,1,1,0,0.39,0.3,0.09,0.3055,0.143,0.0645,0.085,9,7.8668229469,1.1331770531,0.5478175865
M,1,1,0,0.5,0.415,0.165,0.6885,0.249,0.138,0.25,13,12.913724786,0.0862752138,0.0418084005
I,0,0,0,0.36,0.275,0.11,0.2335,0.095,0.0525,0.085,10,7.8314583624,2.1685416376,1.0483520926
I,0,0,0,0.335,0.26,0.1,0.192,0.0785,0.0585,0.07,8,7.2686775543,0.7313224457,0.3539434979
F,1,0,1,0.505,0.425,0.14,0.85,0.275,0.1625,0.285,19,14.391530704,4.608469296,2.2364379298
I,0,0,0,0.395,0.295,0.1,0.2715,0.134,0.0325,0.085,10,7.1658433114,2.8341566886,1.3705116545
F,1,0,1,0.41,0.325,0.105,0.3635,0.159,0.077,0.12,10,9.2040937047,0.7959062953,0.3850263781
F,1,0,1,0.56,0.455,0.19,0.714,0.283,0.129,0.275,9,12.59411109,-3.59411109,-1.752722208
M,1,1,0,0.565,0.435,0.185,0.9815,0.329,0.136,0.39,13,17.083235515,-4.083235515,-1.999556357
M,1,1,0,0.565,0.455,0.185,0.9265,0.354,0.1575,0.375,16,14.509444489,1.4905555109,0.7242012444
M,1,1,0,0.605,0.5,0.175,1.098,0.4765,0.232,0.375,12,11.714627803,0.2853721971,0.1382074412
F,1,0,1,0.565,0.455,0.15,0.8205,0.365,0.159,0.26,18,10.670019817,7.3299801831,3.5428884683
M,1,1,0,0.725,0.565,0.215,1.891,0.6975,0.4725,0.58,16,14.160866947,1.839133053,0.8998914953
F,1,0,1,0.675,0.535,0.16,1.41,0.592,0.3175,0.42,16,11.591087884,4.4089121157,2.132232942
F,1,0,1,0.665,0.555,0.195,1.4385,0.581,0.354,0.36,17,12.267653701,4.7323462987,2.304392834
F,1,0,1,0.565,0.49,0.155,0.9245,0.405,0.2195,0.255,11,10.478372344,0.5216276562,0.2533550369
F,1,0,1,0.645,0.55,0.175,1.2915,0.57,0.3045,0.33,14,10.890113462,3.1098865376,1.5127496309
M,1,1,0,0.575,0.47,0.14,0.8375,0.3485,0.1735,0.24,11,10.689944261,0.3100557385,0.1500277891
F,1,0,1,0.64,0.54,0.175,1.221,0.51,0.259,0.39,15,11.929300471,3.0706995285,1.4885335897
I,0,0,0,0.36,0.28,0.105,0.199,0.0695,0.045,0.08,9,7.9474453197,1.0525546803,0.5087593128
I,0,0,0,0.415,0.31,0.11,0.2965,0.123,0.057,0.0995,10,7.957019605,2.042980395,0.9866048602
F,1,0,1,0.525,0.41,0.135,0.7085,0.293,0.1525,0.235,11,10.93388076,0.0661192401,0.0319265516
M,1,1,0,0.38,0.285,0.1,0.2665,0.115,0.061,0.075,11,8.1743656395,2.8256343605,1.3655947752
F,1,0,1,0.585,0.465,0.17,0.9915,0.3865,0.224,0.265,12,11.956786981,0.0432130187,0.0208894394
I,0,0,0,0.24,0.185,0.07,0.0715,0.026,0.018,0.025,6,5.5594595761,0.4405404239,0.2131276082
I,0,0,0,0.22,0.165,0.055,0.0545,0.0215,0.012,0.02,5,4.893228422,0.106771578,0.0516367167
I,0,0,0,0.255,0.195,0.07,0.0735,0.0255,0.02,0.025,6,5.6924156366,0.3075843634,0.14868116
